S/N,TARIFF NAME,PRICE,TARIFF_TYPE
48,AMOXICILLIN/CLAVULANIC ACID 1.2G INJ.(FLEMING),3850.0,DRUGS
49,AMPICILLIN CLOXACILLIN 250MG/250MG CAP,100.0,DRUGS
50,AMPICILLIN CLOXACILLIN 250MG/5ML SUSP,2000.0,DRUGS
51,AMPICILLIN CLOXACILLIN 250MG/5ML SUSP (BEECHAM),3000.0,DRUGS
52,AMPICILLIN CLOXACILLIN 500MG CAP (BEECHAM),122.92088317871094,DRUGS
53,AMPICILLIN CLOXACILLIN 500MG INJ,1700.0,DRUGS
54,AMPICILLIN CLOXACILLIN 90MG/0.6ML DROP,2600.0,DRUGS
55,Anastrozole 1mg (30 s) -oncology,4033.050048828125,DRUGS
56,ANC Calcium x 1000 (14 days),25.0,DRUGS
57,ANC Calcium x 1000 (7 days),25.0,DRUGS
58,ANC Ferrous x 1000 (14 days),25.0,DRUGS
59,ANC Ferrous x 1000 (7 days),25.0,DRUGS
60,ANC Folic Acid x 1000 (14 days),25.0,DRUGS
61,ANC Folic Acid x 1000 (7 days),25.0,DRUGS
62,ANKLE BRACE,9450.0,DRUGS
63,ANTACID (RULOX SUSPENSION),1500.0,DRUGS
64,ANTALLERGE EYE DROP,2000.0,DRUGS
65,ANTI RABIES INJ,7000.0,DRUGS
66,ANTI- VEGF1,371700.0,DRUGS
67,ANUSOL SUPPOSITORY,910.0,DRUGS
68,APIDRA INSULIN INJ,3850.0,DRUGS
69,APROVASC 300/10,554.4000244140625,DRUGS
70,ARISTOBET N EYE DROP [BETAMETHASONE + NEOMYCIN],2500.0,DRUGS
71,ARM SLING,6300.0,DRUGS
72,ARTEETHER 150MG INJ,1400.0,DRUGS
73,ARTEMETHER 80MG INJ,1400.0,DRUGS
74,ARTEMETHER LUMEFANTRINE 20/120MG DISPERSIBLE TAB,130.0,DRUGS
75,ARTEMETHER LUMEFANTRINE 20/120MG TAB,130.0,DRUGS
76,ARTEMETHER LUMEFANTRINE 80/480MG TAB X6,470.0,DRUGS
77,ARTESUNATE 120MG INJ,1600.0,DRUGS
78,ARTESUNATE 50MG TAB,560.7000122070312,DRUGS
79,ARTESUNATE 60MG INJ,1750.0,DRUGS
80,ARTHROTEC 75,500.0,DRUGS
81,ARTHROTEC GENERIC,400.0,DRUGS
82,ASCOBIC ACID,150.0,DRUGS
83,ASPIRIN 300MG TAB,35.0,DRUGS
84,ASPIRIN 75MG TAB [DISPERSABLE],75.0,DRUGS
85,ASTYFER CAP                   ,99.74474334716797,DRUGS
86,ASTYFER TONIC,3500.0,DRUGS
87,ASTYMIN CAP                   ,133.08749389648438,DRUGS
88,ASTYMIN IV,6756.75,DRUGS
89,ASTYMIN SYRUP,3003.0,DRUGS
90,ATACAND 8MG TAB,520.8748779296875,DRUGS
91,ATENOLOL 100MG TAB,130.0,DRUGS
92,ATENOLOL 50MG TAB,52.5,DRUGS
93,ATORVASTATIN 10MG,95.0,DRUGS
94,ATORVASTATIN TAB 20MG         ,135.0,DRUGS
95,ATOSIBAN 0.9MLS INJ,24500.0,DRUGS
96,Atracurium Besylatelyn,2835.0,DRUGS
97,ATROPINE 0.5MG/1ML INJ,2100.0,DRUGS
98,ATROPINE 1% EYE DROPS,1600.0,DRUGS
99,ATS [ANTI TETANUS SERUM],3150.0,DRUGS
100,AUGMENTIN 1.2G INJ,11200.0,DRUGS
101,AUGMENTIN 1G TAB X 14,550.0,DRUGS
102,AUGMENTIN 228MG/5ML SUSP,10500.0,DRUGS
103,AUGMENTIN 375MG TAB X 20,5040.0,DRUGS
104,AUGMENTIN 625MG TAB X 14,5670.0,DRUGS
105,AUTOCLAVE TAPE ,4725.0,DRUGS
106,AVAMYS 27.5MICRO NASAL SPRAY,4764.375,DRUGS
107,AVASTIN (100mg) ,11550.0,DRUGS
108,AVODART 05MG TAB (DUTASTERIDE),324.45001220703125,DRUGS
109,AZITHROMYCIN 200MG/5ML (ZITHROMAX),3701.25,DRUGS
110,AZITHROMYCIN 200MG/5ML SUSP,3200.0,DRUGS
111,AZITHROMYCIN 250MG TABS,550.0,DRUGS
112,AZITHROMYCIN 500MG CAPS x 3,1500.0,DRUGS
113,AZITHROMYCIN DISPERSIBLE,500.0,DRUGS
114,BACLOFEN 10MG TAB,130.0,DRUGS
115,BANDAGE 4 INCHES x 12,630.0,DRUGS
116,BENDROFLUMETHIAZIDE 5MG TAB,90.0,DRUGS
117,BENZHEXOL 5MG TAB,85.0,DRUGS
118,BENZYL BENZOATE LOTION,1950.0,DRUGS
119,BETADRONE N EYE/EAR DROP [BETAMETHASONE + NEOMYCIN],1950.0,DRUGS
120,BETALOC ZOK 25MG TAB [METOPROLOL SUCCINATE],232.87498474121094,DRUGS
121,BETALOC ZOK 50MG TAB [METOPROLOL SUCCINATE],131.25,DRUGS
122,BETALOK ZOK 100MG TAB [METOPROLOL TARTARATE],397.9499206542969,DRUGS
123,BETAMETHASONE N CREAM [BETAMETHASONE + NEOMYCIN],1560.0,DRUGS
124,BETAMETHASONE PLAIN CREAM,1560.0,DRUGS
125,BETROSIL CREAM (TIOCONAZOLE),1700.0,DRUGS
126,BIOCOTEN CREAM [CLOTRIMAZOLE + GENTAMICIN + NEOMYCIN],2000.0,DRUGS
127,BISACODYL 5MG TAB,130.0,DRUGS
128,BISOPROLOL 2.5MG TAB,195.0,DRUGS
129,BISOPROLOL TAB 5MG,195.0,DRUGS
130,BLADDER SYRINGE 60MLS,724.5,DRUGS
131,BLOOD GIVING SET,525.0,DRUGS
132,BLOOD TONIC 200ML,763.875,DRUGS
133,Bortezomib 2mg Injection,37896.703125,DRUGS
134,BRIMONIDINE EYE DROP,4567.5,DRUGS
135,BROMAZEPAM 1.5MG TAB,170.0,DRUGS
136,BROMAZEPAM 3MG TAB,170.0,DRUGS
137,BROMEXIN 4MG/5ML SYR (BROMEX),1850.0,DRUGS
138,BROMOCRIPTINE MESYLATE 2.5MG TAB (BROMERGON) ,567.0,DRUGS
139,BUDESONIDE NEBULES,6500.0,DRUGS
140,BUPI HEAVY INJ (MARCAINE),1750.0,DRUGS
141,LUMBER SUPPORT,9607.5,DRUGS
142,CA-C 1000 SANDOZ x 10,483.0,DRUGS
143,CACO3-CALCIUM 600+D3 400IU TAB,362.25,DRUGS
144,CAFERGOT TAB x 30,315.0,DRUGS
145,CAFFEINE CITRATE 20mg INJ,14000.0,DRUGS
146,CAFFEINE CITRATE INJ,9450.0,DRUGS
147,CALAMINE 100ML LOTION,1100.0,DRUGS
148,CALCIMAX SUSP ,1100.0,DRUGS
149,CALCIMAX TAB (30),260.0,DRUGS
150,CALCIUM GLUCONATE INJ,2600.0,DRUGS
151,CALCIUM LACTATE 300MG         ,65.0,DRUGS
152,CALGOVIT CALCIUM,196.875,DRUGS
153,CALGOVIT VITC 1000MG,798.0,DRUGS
154,CAMOSUNATE POWDER 1-6YRS,1701.0,DRUGS
155,CAMOSUNATE POWDER BELOW 1YR,2300.0,DRUGS
156,CAMOSUNATE TAB (ADULT),630.0,DRUGS
157,CANDESARTAN 16MG TAB,191.10000610351562,DRUGS
158,CANDESARTAN 8MG TAB,204.75,DRUGS
159,CANNULAR BLUE,525.0,DRUGS
160,CANNULAR GREEN,525.0,DRUGS
161,CANNULAR GREY,525.0,DRUGS
162,CANNULAR PINK,525.0,DRUGS
163,CANNULAR YELLOW ,525.0,DRUGS
164,CARBAMAZEPINE 200MG CR TAB,190.0,DRUGS
165,CARBAMAZEPINE 200MG TAB,250.0,DRUGS
166,CARBEGOLINE 0.5MG TAB,2283.75,DRUGS
167,CARBETOCIN INJ,17500.0,DRUGS
168,CARBIMAZOLE 5MG TAB,195.0,DRUGS
169,CARVEDILOL 12.5 MG TAB,130.0,DRUGS
170,CARVEDILOL 25 MG TAB,250.0,DRUGS
171,CARVEDILOL 3.125MG TAB,120.0,DRUGS
172,CARVEDILOL 6.25MG TAB,230.0,DRUGS
173,CASODEX 150mg TAB (BICALUTAMIDE) ,2715.75146484375,DRUGS
174,CASTOR OIL ,2100.0,DRUGS
175,CATHETER SIZE 10 ,700.0,DRUGS
176,CATHETER SIZE 12 ,700.0,DRUGS
177,CATHETER SIZE 14 ,700.0,DRUGS
178,CATHETER SIZE 16,700.0,DRUGS
179,CATHETER SIZE 18,700.0,DRUGS
180,CATHETER SIZE 20 ,700.0,DRUGS
181,CATHETER SIZE 22 ,700.0,DRUGS
182,CATHETER SIZE 24 ,700.0,DRUGS
183,CATHETER SIZE 6 ,700.0,DRUGS
184,CEFEPIME 1G INJECTION,5250.0,DRUGS
185,CEFIXIME 200MG TAB,189.0,DRUGS
186,CEFIXIME 400MG TAB,322.875,DRUGS
187,CEFIXIME SUSP 100MG/5ML       ,3600.0,DRUGS
188,CEFOTAXIME 1GM INJ,3500.0,DRUGS
189,CEFPODOXIME 100MG/5ML SUSP,2625.0,DRUGS
190,CEFPODOXIME 200MG TAB,315.0,DRUGS
191,CEFTAZIDIME 1GM INJ,3500.0,DRUGS
192,CEFTRIAXONE 1GM INJ,2000.0,DRUGS
193,Ceftriaxone/Sulbactam 1.5g INJ,2100.0,DRUGS
194,CEFUROXIME 125MG/5ML SUSP,3500.0,DRUGS
195,CEFUROXIME 250MG TAB,300.0,DRUGS
196,CEFUROXIME 750MG INJ,3000.0,DRUGS
197,CELECOXIB 200MG CAP,567.0,DRUGS
198,CELECOXIB 200MG CAP (CELEBREX),406.3500061035156,DRUGS
199,CENOCIDE/BANOCID 50MG TAB,350.0,DRUGS
200,CEPHALEXIN 125MG SUSP,1900.0,DRUGS
201,CEPHALEXIN 500MG CAP,250.0,DRUGS
202,CERUMOL EAR DROP,3780.0,DRUGS
203,Cervical Soft Collar,8400.0,DRUGS
204,CERVIX SET,6561.4501953125,DRUGS
205,CETIRIZINE TAB 5MG TAB,130.0,DRUGS
206,CETRIZINE HCL 5MG/5ML SYR,2415.0,DRUGS
207,CHLOPROMAZINE 25MG TAB,110.0,DRUGS
208,CHLOPROMAZINE 25MG/ML INJ,1500.0,DRUGS
209,CHLORAMPHENICOL EAR DROP,1300.0,DRUGS
210,CHLORAMPHENICOL EYE DROP,1300.0,DRUGS
211,CHLORAMPHENICOL EYE OINT,1300.0,DRUGS
212,CHLOROQUINE SYRUP,1000.0,DRUGS
213,CHLOROQUININE TAB X1000,157.5,DRUGS
214,CHLORPHENIRAMINE INJ,700.0,DRUGS
215,CHLORPHENIRAMINE SYRUP,850.0,DRUGS
216,CHLORPHENIRAMINE TAB X1000,52.5,DRUGS
217,CHLORPROMAZINE 25MG INJ,1850.0,DRUGS
218,Chlorpromazine 50mg Tablet,130.0,DRUGS
219,CHOLESTYRAMINE 4mg powder,525.0,DRUGS
220,CHYMORAL INJ  (TRYPSIN CHYMOTRYPSIN 100000AU),1400.0,DRUGS
221,CHYMORAL TABS (TRYPSIN CHYMOTRYPSIN 100000AU),65.0,DRUGS
222,CIMETIDINE 400MG TAB,67.7249984741211,DRUGS
223,CIMETIDINE INJ ,700.0,DRUGS
224,CIPROFLOXACIN 500MG TAB X 10,250.0,DRUGS
225,CIPROFLOXACIN EYED/EAR DROP,2205.0,DRUGS
226,CIPROFLOXACIN IV INFUSION ,2000.0,DRUGS
227,Ciprotab- TZ 500/600mg,250.0,DRUGS
228,Cisplatin (50mg vial) -oncology,4842.9150390625,DRUGS
229,CLARITHROMYCIN 500MG TAB,330.0,DRUGS
230,Clavamox 228.5mg,1601.5999755859375,DRUGS
231,Clavicle Brace,10237.5,DRUGS
232,CLEXANE 40MG INJ (ENOXAPARIN),8400.0,DRUGS
233,CLINDAMYCIN 300MG CAP,380.0,DRUGS
234,CLINDAMYCIN CREAM,2100.0,DRUGS
235,CLINDAMYCIN PHOSPHATE INJ,2800.0,DRUGS
236,CLOMIPHENE CITRATE 50MG CAP,1055.25,DRUGS
237,CLOPIDOGREL 75MG TAB,195.0,DRUGS
238,CLOTRIMAZOLE CREAM (CANESTEN),1500.0,DRUGS
239,CLOTRIMAZOLE VAG CREAM,2000.0,DRUGS
240,CLOTRIMAZOLE VAG TAB (PESSARIES),550.0,DRUGS
241,CO-APROVEL 300/12.5MG (IRBESARTAN +HYDROCHLOROTHIAZIDE),504.0,DRUGS
242,CO-CODAMOL 8/500MG TAB (CODEINE PHOSPHATE + PARACETAMOL),189.0,DRUGS
243,COD LIVER OIL 1000 CAP,52.5,DRUGS
244,COD LIVER OIL SYRUP ,2835.0,DRUGS
245,CO-DIOVAN 160/12.5MG TAB (VALSARTAN + HYDROCHLOROTHIAZIDE),631.7437133789062,DRUGS
246,CO-DIOVAN 160/25 (VALSARTAN+ HYDROCHLOROTHIAZIDE),631.7437133789062,DRUGS
247,CO-DIOVAN 80/12.5MG TAB,724.5,DRUGS
248,Coflax Expectorant 100ml,1150.0,DRUGS
249,COFLIN 100ML SYRUP,1150.0,DRUGS
250,COLLOMACK PAINT ,1785.0,DRUGS
251,CO-MEPIRYL FORTE 2MG/1000MG,283.5,DRUGS
252,CO-MICARDIS 80/12.5MG TAB (TELMISERTAN + HYDROCHLOROTHIAZIDE),454.49993896484375,DRUGS
253,CORD CLAMP,525.0,DRUGS
254,Co-trimazol 960mg,75.0,DRUGS
255,COTRIMOXAZOLE 480MG TAB X1000,75.0,DRUGS
256,COTRIMOXAZOLE 960MG TAB X 1000,125.0,DRUGS
257,COVERAM 10/10MG TAB,441.0,DRUGS
258,COVERAM 10/5MG TAB,441.0,DRUGS
259,Coveram 5/5mg tab,740.5999755859375,DRUGS
260,COVERAM 5MG TAB (PERIDOPRIL),381.9375,DRUGS
261,COVERSYL 5MG TAB (PERINDOPRIL),740.25,DRUGS
262,COVERSYL PLUS 10/2.5MG TAB (PENINDOPRIL + INDAPAMIDE),740.5999755859375,DRUGS
263,COVERSYL PLUS 5/1.25MG TAB (PENINDOPRIL + INDAPAMIDE),315.0,DRUGS
264,CREPE BANDAGE 4 INCH,525.0,DRUGS
265,CRUTCHES LARGE,16537.5,DRUGS
266,CRUTCHES MEDIUM,14962.5,DRUGS
267,cylindamycin 300mg,115.5,DRUGS
268,CYTOTEC 200MG TAB (MISOPROSTOL),1050.0,DRUGS
269,D KOFF SYRUP,1150.0,DRUGS
270,DACTINOMYCI N (0.5mg) -oncology,3712.170166015625,DRUGS
271,DANACID TAB,55.0,DRUGS
272,DAONIL 5MG TAB (GLIBENCLAMIDE),195.0,DRUGS
273,DEPO PROVERA INJ,8000.0,DRUGS
274,DEPO-MEDROL INJ 40MG/ML       ,8000.0,DRUGS
275,DERMAZIN CREAM (SILVER SULFADIAZINE),4000.0,DRUGS
276,DEXAMETHASONE 0.5MG TAB,65.0,DRUGS
277,DEXAMETHASONE 1MG TAB,75.0,DRUGS
278,DEXAMETHASONE 4MG (Oncology),210.0,DRUGS
279,DEXAMETHASONE 4ML INJ ,700.0,DRUGS
280,DEXAMETHASONE EYE OINTMENT,1102.5,DRUGS
281,DEXTROSE SALINE 4.3%,1500.0,DRUGS
282,DEXTROSE SALINE 5%,1500.0,DRUGS
283,DEXTROSE WATER 10%,1500.0,DRUGS
284,DEXTROSE WATER 5%,1500.0,DRUGS
285,DEXTROSE WATER 50%,1500.0,DRUGS
286,DIAMICRON 60MG TAB (GlICLAZIDE),230.3594970703125,DRUGS
287,DIASTOP SUSPENSION,708.75,DRUGS
288,DIAZEPAM 10MG INJ,1050.0,DRUGS
289,DIAZEPAM 5MG TAB       ,130.0,DRUGS
290,DICLOFENAC 100MG TAB,75.0,DRUGS
291,DICLOFENAC 50MG TAB,65.0,DRUGS
292,DICLOFENAC 75MG/3ML INJ ,700.0,DRUGS
293,DICLOFENAC EYE DROP,1348.199951171875,DRUGS
294,DICLOFENAC SUPPOSITORY 100MG,787.5,DRUGS
295,DICLOMOL GEL (DICLOFENAC 1%),1300.0,DRUGS
296,DICYNONE 250MG INJ,2000.0,DRUGS
297,DIFLUCAN 50MG CAP X3 ,855.75,DRUGS
298,DIGOXIN 0.25MG TAB,520.0,DRUGS
299,DIHYDROARTEMISININ PIPERAQUINE 40/320MG TAB,129.49964904785156,DRUGS
300,DIHYDROCODEINE (DF118) 30MG TAB,425.25,DRUGS
301,DIOVAN 160MG TAB (VALSARTAN),778.7249755859375,DRUGS
302,DIOVAN 80MG TAB (VALSARTAN),525.9374389648438,DRUGS
303,Diprosalic Ointment [Betamethasone/salycilic acid],3307.5,DRUGS
304,DISTINGUISH BAND NAME TAG-BLUE AND PINK,525.0,DRUGS
305,DOBUTAMINE 50MG INJ ,4200.0,DRUGS
306,DONEPEZIL HYDROCHLORIDE 5MG,280.0,DRUGS
307,DOPAMINE 200MG/5ML INJ,2100.0,DRUGS
308,DORZOLAMIDE TIMOLOL EYE DROP,6142.5,DRUGS
309,DOSTINEX (CABERGOLINE) 0.5MG TAB,2461.199951171875,DRUGS
310,DOUBLE G LANCET,7.875,DRUGS
311,DOXAZOCIN 4MG TAB,130.0,DRUGS
312,Doxorubicin (50mg) -oncology,4698.5400390625,DRUGS
313,DOXYCYCLINE 100MG CAP,130.0,DRUGS
314,DREZ 10% LOTION,2310.0,DRUGS
315,DREZ 10% OINTMENT ,916.6500244140625,DRUGS
316,DRUJELA MOUTH GEL,787.5,DRUGS
317,DULCOLAX SUPPOSITORY (BISACODYL),834.75,DRUGS
318,Duodart Capsules (Dutesteride/Tamsulosin),1575.0,DRUGS
319,DUPHASTON 10MG TAB (DIHYDROGESTRONE),370.125,DRUGS
320,DURAPORE SURGICAL TAPE 1INCH,6562.50048828125,DRUGS
321,DYNAMOGEN SYRUP,1950.0,DRUGS
322,Ebeclav 228.5mg ,2600.0,DRUGS
323,Elastic Shoulder Immobilizer,10237.5,DRUGS
324,empagliflozin 10mg,847.0,DRUGS
325,empagliflozin 25mg,847.0,DRUGS
326,EMZOLYN COUGH ADULT SYR,1150.0,DRUGS
327,EMZOLYN COUGH CHILDREN SYRUP,1150.0,DRUGS
328,ENALAPRIL 5MG TAB,195.0,DRUGS
329,ENALAPRIL HYDROCHLOROTHIAZIDE 5/125MG TAB ,150.0,DRUGS
330,ENCEPHABOL SYRUPS,10290.0,DRUGS
331,ENDIX-G CREAM,52.5,DRUGS
332,ENDOMETRIAL PIPETTE,5880.0,DRUGS
333,ENDOTRACHEAL TUBE,1575.0,DRUGS
334,ENVELOPE,78.75,DRUGS
335,EPHEDRINE HCL 50MG/1ML INJ,4200.0,DRUGS
336,EPILIM CHRONO 500 TAB [SODIUM VALPROATE],409.5,DRUGS
337,Epsom Salt powder,231.8400115966797,DRUGS
338,ERGOMETRIN 0.5MG/ML INJ,1950.0,DRUGS
339,ERYTHROMYCIN 125MG/5ML SUSPENSION,1900.0,DRUGS
340,ERYTHROMYCIN 250MG TAB,150.0,DRUGS
341,ERYTHROMYCIN 500MG TAB,185.0,DRUGS
342,ERYTHROPOETIN 4000IU INJ,7000.0,DRUGS
343,ESCITALOPRAM 10MG TAB,236.25,DRUGS
344,ESIDREX 25MG TAB,157.5,DRUGS
345,ESOMEPRAZOLE 20MG TAB,200.0,DRUGS
346,EUSOL SOLUTION 1JAR,1575.0,DRUGS
347,EVIOL VITAMIN E 100MG CAP,84.0,DRUGS
348,EXAMINATION GLOVES X100,525.0,DRUGS
349,EXFORGE 5/160/25MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),947.39404296875,DRUGS
350,EXFORGE 5MG/160MG TAB (AMLODIPINE + VALSARTAN ),947.3998413085938,DRUGS
351,EXFORGE HCT 10/160/25MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),1301.4749755859375,DRUGS
352,EXFORGE HCT 10MG/160MG/12.5MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),1301.4749755859375,DRUGS
353,EXFORGE HCT 5/160/12.5MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),957.5999755859375,DRUGS
354,EYE ANTIOXIDANT TAB,113.4000015258789,DRUGS
355,FANSIDAR SYR (PYRIMETHAMINE + SULFADOXIME),700.0,DRUGS
356,FANSIDAR TAB X3,400.0,DRUGS
357,FEBUXOSTAT 40MG TAB,165.375,DRUGS
358,FEBUXOSTAT 80MG TAB,231.52499389648438,DRUGS
359,FELXICAM 20MG CAP (HOVID),63.0,DRUGS
360,FENOFIBRATE 160MG TAB,196.875,DRUGS
361,FENOFIBRATE 200MG TAB,212.625,DRUGS
362,FENTANYL 100MG/2ML INJ,4900.0,DRUGS
363,FENTANYL 500MCG/10ML INJ.,3850.0,DRUGS
364,FERILEX JNR (BLOOD TONIC FOR CHILDREN),551.25,DRUGS
365,FERROUS TAB X1000,31.5,DRUGS
366,FINASTERIDE 5MG TAB,151.1999969482422,DRUGS
367,Fleming (Amoxicillin/Clavulanic acid) 457mg Syrups,5000.0,DRUGS
368,FLOTAC 75MG,367.5,DRUGS
369,FLUCAMED EYE&EAR DROP (FLCONAZOLE),2000.0,DRUGS
370,FLUCAMED SYR (FLUCONAZOLE),2500.0,DRUGS
371,Flucloxacillin 500mg Capsules,299.25,DRUGS
372,FLUCONAZOLE 150MG CAP,300.0,DRUGS
373,FLUCONAZOLE 50MG TAB,100.0,DRUGS
374,FLUOROMETHOLONE EYE DROP,1890.0,DRUGS
375,Flutamide 250mg Tablet,260.0,DRUGS
376,FOLIC ACID SYRUP,677.25,DRUGS
377,FOLIC ACID TAB x 1000,31.5,DRUGS
378,FOLINIC ACID (LEUCOVORIN) 15MG TAB,787.5,DRUGS
379,Folinic acid 5mg/ml injection,2730.0,DRUGS
380,Fortide Inhaler,5890.5,DRUGS
381,FORTUM 1G INJ,8400.0,DRUGS
382,FRUSEMIDE 40MG INJ,700.0,DRUGS
383,FRUSEMIDE 40MG TAB  X500,80.0,DRUGS
384,FULL STRENGTH DARROWS,1700.0,DRUGS
385,FUNCTIONAL KNEE SUPPORT (HARD),12285.0,DRUGS
386,FUNGUSOL LOTION (MICONAZOLE NITRATE),2600.0,DRUGS
387,FUNGUSOL POWDER (MICONAZOLE POWDER),2500.0,DRUGS
388,Furosemide 20mg inj,700.0,DRUGS
389,GALVUS 50MG TAB (VIDAGLIPTIN),496.2374572753906,DRUGS
390,GALVUSMET 50MG/1000MG TAB (VILDAGLIPTIN + METFORMIN),677.25,DRUGS
391,GAUZE BANDAGE ROLL B/S,7875.0,DRUGS
392,GAUZE BANDAGE ROLL S/S,5827.5,DRUGS
393,GAVISCON SUSPENSION,5197.65771484375,DRUGS
394,GENSULIN M30 (INSULIN 70/30),4095.0,DRUGS
395,GENSULIN R,4095.0,DRUGS
396,GENTAIN VIOLET PAINT,210.0,DRUGS
397,GENTAMICIN 80MG INJ,700.0,DRUGS
398,GENTAMICIN EYE&EAR DROP,1200.0,DRUGS
399,GENTAMICIN OINTIMENT,1100.0,DRUGS
400,GESTID TAB,84.0,DRUGS
401,GIVING SET,525.0,DRUGS
402,GLIMEPIRIDE 2MG TAB,130.0,DRUGS
403,GLUCOPHAGE 500MG TAB,130.0,DRUGS
404,GLYCERYL TRINITRATE 500MCG TAB,300.0,DRUGS
405,GLYCERYL TRINITRATE SPRAY,7087.5,DRUGS
406,Glycopyrrolate INJ.,3600.0,DRUGS
407,GREEN SCALP VEIN NEEDLE,210.0,DRUGS
408,GRISEOFULVIN 500MG TAB,189.0,DRUGS
409,GRISEOFULVIN SYRUP,2200.0,DRUGS
410,Guedel Airway size 9,630.0,DRUGS
411,HALF STRENGHT DARROWS,1500.0,DRUGS
412,HALOPERIDOL 5MG INJ,1900.0,DRUGS
413,HALOPERIDOL 5MG TAB X1000,150.0,DRUGS
414,HEP B (CHILD),6000.0,DRUGS
415,HEPARIN 5000IU INJ,7000.0,DRUGS
416,Heparin Inj,7000.0,DRUGS
417,HEPATITIS B ADULT SINGLE DOSE (1 DOSE AMP),6000.0,DRUGS
418,HEPATITIS B IMMUNOGLOBULIN 100IU,63000.0,DRUGS
419,Hepatitis B immunoglobulin 110 iu Injection,70000.0,DRUGS
420,Hepatitis B immunoglobulin 180 unit inj,80500.0,DRUGS
421,HEXAXIM VACCINE,24675.0,DRUGS
422,HYDRALAZINE 25MG TAB,100.0,DRUGS
423,HYDRALAZINE HCL 20MG/ML INJ,1750.0,DRUGS
424,HYDROCHLORTHIAZIDE 25MG TAB  ,52.5,DRUGS
425,HYDROCORTISONE 100MG INJ,700.0,DRUGS
426,HYDROCORTISONE CREAM,1900.0,DRUGS
427,HYDROGEN PEROXIDE 200ML,1950.0,DRUGS
428,HYDROGEN PEROXIDE 2LT,1950.0,DRUGS
429,HYDROXY UREA 100MG CAP,110.25,DRUGS
430,HYDROXY UREA 250MG CAP,94.5,DRUGS
431,Hydroxychloroquine 200MG,154.35000610351562,DRUGS
