TYPE,TOTAL,TARIFF_TYPE,S/N,TARIFF NAME,PRICE
,,DRUGS,101,ATENOLOL 100MG TAB,130.0
,,DRUGS,102,ATENOLOL 50MG TAB,52.5
,,DRUGS,103,ATORVASTATIN 10MG,95.0
,,DRUGS,104,ATORVASTATIN TAB 20MG         ,135.0
,,DRUGS,105,ATOSIBAN 0.9MLS INJ,24500.0
,,DRUGS,106,Atracurium Besylatelyn,2835.0
,,DRUGS,107,ATROPINE 0.5MG/1ML INJ,2100.0
,,DRUGS,108,ATROPINE 1% EYE DROPS,1600.0
,,DRUGS,109,ATS [ANTI TETANUS SERUM],3150.0
,,DRUGS,110,AUGMENTIN 1.2G INJ,11200.0
,,DRUGS,111,AUGMENTIN 1G TAB X 14,550.0
,,DRUGS,112,AUGMENTIN 228MG/5ML SUSP,10500.0
,,DRUGS,113,AUGMENTIN 375MG TAB X 20,5040.0
,,DRUGS,114,AUGMENTIN 625MG TAB X 14,5670.0
,,DRUGS,115,AUTOCLAVE TAPE ,4725.0
,,DRUGS,116,AVAMYS 27.5MICRO NASAL SPRAY,4764.375
,,DRUGS,117,AVASTIN (100mg) ,11550.0
,,DRUGS,118,AVODART 05MG TAB (DUTASTERIDE),324.45001220703125
,,DRUGS,119,AZITHROMYCIN 200MG/5ML (ZITHROMAX),3701.25
,,DRUGS,120,AZITHROMYCIN 200MG/5ML SUSP,3200.0
,,DRUGS,121,AZITHROMYCIN 250MG TABS,550.0
,,DRUGS,122,AZITHROMYCIN 500MG CAPS x 3,1500.0
,,DRUGS,123,AZITHROMYCIN DISPERSIBLE,500.0
,,DRUGS,124,BACLOFEN 10MG TAB,130.0
,,DRUGS,125,BANDAGE 4 INCHES x 12,630.0
,,DRUGS,126,BENDROFLUMETHIAZIDE 5MG TAB,90.0
,,DRUGS,127,BENZHEXOL 5MG TAB,85.0
,,DRUGS,128,BENZYL BENZOATE LOTION,1950.0
,,DRUGS,129,BETADRONE N EYE/EAR DROP [BETAMETHASONE + NEOMYCIN],1950.0
,,DRUGS,130,BETALOC ZOK 25MG TAB [METOPROLOL SUCCINATE],232.87498474121094
,,DRUGS,131,BETALOC ZOK 50MG TAB [METOPROLOL SUCCINATE],131.25
,,DRUGS,132,BETALOK ZOK 100MG TAB [METOPROLOL TARTARATE],397.9499206542969
,,DRUGS,133,BETAMETHASONE N CREAM [BETAMETHASONE + NEOMYCIN],1560.0
,,DRUGS,134,BETAMETHASONE PLAIN CREAM,1560.0
,,DRUGS,135,BETROSIL CREAM (TIOCONAZOLE),1700.0
,,DRUGS,136,BIOCOTEN CREAM [CLOTRIMAZOLE + GENTAMICIN + NEOMYCIN],2000.0
,,DRUGS,137,BISACODYL 5MG TAB,130.0
,,DRUGS,138,BISOPROLOL 2.5MG TAB,195.0
,,DRUGS,139,BISOPROLOL TAB 5MG,195.0
,,DRUGS,140,BLADDER SYRINGE 60MLS,724.5
,,DRUGS,141,BLOOD GIVING SET,525.0
,,DRUGS,142,BLOOD TONIC 200ML,763.875
,,DRUGS,143,Bortezomib 2mg Injection,37896.703125
,,DRUGS,144,BRIMONIDINE EYE DROP,4567.5
,,DRUGS,145,BROMAZEPAM 1.5MG TAB,170.0
,,DRUGS,146,BROMAZEPAM 3MG TAB,170.0
,,DRUGS,147,BROMEXIN 4MG/5ML SYR (BROMEX),1850.0
,,DRUGS,148,BROMOCRIPTINE MESYLATE 2.5MG TAB (BROMERGON) ,567.0
,,DRUGS,149,BUDESONIDE NEBULES,6500.0
,,DRUGS,150,BUPI HEAVY INJ (MARCAINE),1750.0
,,DRUGS,151,LUMBER SUPPORT,9607.5
,,DRUGS,152,CA-C 1000 SANDOZ x 10,483.0
,,DRUGS,153,CACO3-CALCIUM 600+D3 400IU TAB,362.25
,,DRUGS,154,CAFERGOT TAB x 30,315.0
,,DRUGS,155,CAFFEINE CITRATE 20mg INJ,14000.0
,,DRUGS,156,CAFFEINE CITRATE INJ,9450.0
,,DRUGS,157,CALAMINE 100ML LOTION,1100.0
,,DRUGS,158,CALCIMAX SUSP ,1100.0
,,DRUGS,159,CALCIMAX TAB (30),260.0
,,DRUGS,160,CALCIUM GLUCONATE INJ,2600.0
,,DRUGS,161,CALCIUM LACTATE 300MG         ,65.0
,,DRUGS,162,CALGOVIT CALCIUM,196.875
,,DRUGS,163,CALGOVIT VITC 1000MG,798.0
,,DRUGS,164,CAMOSUNATE POWDER 1-6YRS,1701.0
,,DRUGS,165,CAMOSUNATE POWDER BELOW 1YR,2300.0
,,DRUGS,166,CAMOSUNATE TAB (ADULT),630.0
,,DRUGS,167,CANDESARTAN 16MG TAB,191.10000610351562
,,DRUGS,168,CANDESARTAN 8MG TAB,204.75
,,DRUGS,169,CANNULAR BLUE,525.0
,,DRUGS,170,CANNULAR GREEN,525.0
,,DRUGS,171,CANNULAR GREY,525.0
,,DRUGS,172,CANNULAR PINK,525.0
,,DRUGS,173,CANNULAR YELLOW ,525.0
,,DRUGS,174,CARBAMAZEPINE 200MG CR TAB,190.0
,,DRUGS,175,CARBAMAZEPINE 200MG TAB,250.0
,,DRUGS,176,CARBEGOLINE 0.5MG TAB,2283.75
,,DRUGS,177,CARBETOCIN INJ,17500.0
,,DRUGS,178,CARBIMAZOLE 5MG TAB,195.0
,,DRUGS,179,CARVEDILOL 12.5 MG TAB,130.0
,,DRUGS,180,CARVEDILOL 25 MG TAB,250.0
,,DRUGS,181,CARVEDILOL 3.125MG TAB,120.0
,,DRUGS,182,CARVEDILOL 6.25MG TAB,230.0
,,DRUGS,183,CASODEX 150mg TAB (BICALUTAMIDE) ,2715.75146484375
,,DRUGS,184,CASTOR OIL ,2100.0
,,DRUGS,185,CATHETER SIZE 10 ,700.0
,,DRUGS,186,CATHETER SIZE 12 ,700.0
,,DRUGS,187,CATHETER SIZE 14 ,700.0
,,DRUGS,188,CATHETER SIZE 16,700.0
,,DRUGS,189,CATHETER SIZE 18,700.0
,,DRUGS,190,CATHETER SIZE 20 ,700.0
,,DRUGS,191,CATHETER SIZE 22 ,700.0
,,DRUGS,192,CATHETER SIZE 24 ,700.0
,,DRUGS,193,CATHETER SIZE 6 ,700.0
,,DRUGS,194,CEFEPIME 1G INJECTION,5250.0
,,DRUGS,195,CEFIXIME 200MG TAB,189.0
,,DRUGS,196,CEFIXIME 400MG TAB,322.875
,,DRUGS,197,CEFIXIME SUSP 100MG/5ML       ,3600.0
,,DRUGS,198,CEFOTAXIME 1GM INJ,3500.0
,,DRUGS,199,CEFPODOXIME 100MG/5ML SUSP,2625.0
,,DRUGS,200,CEFPODOXIME 200MG TAB,315.0
,,DRUGS,201,CEFTAZIDIME 1GM INJ,3500.0
,,DRUGS,202,CEFTRIAXONE 1GM INJ,2000.0
,,DRUGS,203,Ceftriaxone/Sulbactam 1.5g INJ,2100.0
,,DRUGS,204,CEFUROXIME 125MG/5ML SUSP,3500.0
,,DRUGS,205,CEFUROXIME 250MG TAB,300.0
,,DRUGS,206,CEFUROXIME 750MG INJ,3000.0
,,DRUGS,207,CELECOXIB 200MG CAP,567.0
,,DRUGS,208,CELECOXIB 200MG CAP (CELEBREX),406.3500061035156
,,DRUGS,209,CENOCIDE/BANOCID 50MG TAB,350.0
,,DRUGS,210,CEPHALEXIN 125MG SUSP,1900.0
,,DRUGS,211,CEPHALEXIN 500MG CAP,250.0
,,DRUGS,212,CERUMOL EAR DROP,3780.0
,,DRUGS,213,Cervical Soft Collar,8400.0
,,DRUGS,214,CERVIX SET,6561.4501953125
,,DRUGS,215,CETIRIZINE TAB 5MG TAB,130.0
,,DRUGS,216,CETRIZINE HCL 5MG/5ML SYR,2415.0
,,DRUGS,217,CHLOPROMAZINE 25MG TAB,110.0
,,DRUGS,218,CHLOPROMAZINE 25MG/ML INJ,1500.0
,,DRUGS,219,CHLORAMPHENICOL EAR DROP,1300.0
,,DRUGS,220,CHLORAMPHENICOL EYE DROP,1300.0
,,DRUGS,221,CHLORAMPHENICOL EYE OINT,1300.0
,,DRUGS,222,CHLOROQUINE SYRUP,1000.0
,,DRUGS,223,CHLOROQUININE TAB X1000,157.5
,,DRUGS,224,CHLORPHENIRAMINE INJ,700.0
,,DRUGS,225,CHLORPHENIRAMINE SYRUP,850.0
,,DRUGS,226,CHLORPHENIRAMINE TAB X1000,52.5
,,DRUGS,227,CHLORPROMAZINE 25MG INJ,1850.0
,,DRUGS,228,Chlorpromazine 50mg Tablet,130.0
,,DRUGS,229,CHOLESTYRAMINE 4mg powder,525.0
,,DRUGS,230,CHYMORAL INJ  (TRYPSIN CHYMOTRYPSIN 100000AU),1400.0
,,DRUGS,231,CHYMORAL TABS (TRYPSIN CHYMOTRYPSIN 100000AU),65.0
,,DRUGS,232,CIMETIDINE 400MG TAB,67.7249984741211
,,DRUGS,233,CIMETIDINE INJ ,700.0
,,DRUGS,234,CIPROFLOXACIN 500MG TAB X 10,250.0
,,DRUGS,235,CIPROFLOXACIN EYED/EAR DROP,2205.0
,,DRUGS,236,CIPROFLOXACIN IV INFUSION ,2000.0
,,DRUGS,237,Ciprotab- TZ 500/600mg,250.0
,,DRUGS,238,Cisplatin (50mg vial) -oncology,4842.9150390625
,,DRUGS,239,CLARITHROMYCIN 500MG TAB,330.0
,,DRUGS,240,Clavamox 228.5mg,1601.5999755859375
,,DRUGS,241,Clavicle Brace,10237.5
,,DRUGS,242,CLEXANE 40MG INJ (ENOXAPARIN),8400.0
,,DRUGS,243,CLINDAMYCIN 300MG CAP,380.0
,,DRUGS,244,CLINDAMYCIN CREAM,2100.0
,,DRUGS,245,CLINDAMYCIN PHOSPHATE INJ,2800.0
,,DRUGS,246,CLOMIPHENE CITRATE 50MG CAP,1055.25
,,DRUGS,247,CLOPIDOGREL 75MG TAB,195.0
,,DRUGS,248,CLOTRIMAZOLE CREAM (CANESTEN),1500.0
,,DRUGS,249,CLOTRIMAZOLE VAG CREAM,2000.0
,,DRUGS,250,CLOTRIMAZOLE VAG TAB (PESSARIES),550.0
,,DRUGS,251,CO-APROVEL 300/12.5MG (IRBESARTAN +HYDROCHLOROTHIAZIDE),504.0
,,DRUGS,252,CO-CODAMOL 8/500MG TAB (CODEINE PHOSPHATE + PARACETAMOL),189.0
,,DRUGS,253,COD LIVER OIL 1000 CAP,52.5
,,DRUGS,254,COD LIVER OIL SYRUP ,2835.0
,,DRUGS,255,CO-DIOVAN 160/12.5MG TAB (VALSARTAN + HYDROCHLOROTHIAZIDE),631.7437133789062
,,DRUGS,256,CO-DIOVAN 160/25 (VALSARTAN+ HYDROCHLOROTHIAZIDE),631.7437133789062
,,DRUGS,257,CO-DIOVAN 80/12.5MG TAB,724.5
,,DRUGS,258,Coflax Expectorant 100ml,1150.0
,,DRUGS,259,COFLIN 100ML SYRUP,1150.0
,,DRUGS,260,COLLOMACK PAINT ,1785.0
,,DRUGS,261,CO-MEPIRYL FORTE 2MG/1000MG,283.5
,,DRUGS,262,CO-MICARDIS 80/12.5MG TAB (TELMISERTAN + HYDROCHLOROTHIAZIDE),454.49993896484375
,,DRUGS,263,CORD CLAMP,525.0
,,DRUGS,264,Co-trimazol 960mg,75.0
,,DRUGS,265,COTRIMOXAZOLE 480MG TAB X1000,75.0
,,DRUGS,266,COTRIMOXAZOLE 960MG TAB X 1000,125.0
,,DRUGS,267,COVERAM 10/10MG TAB,441.0
,,DRUGS,268,COVERAM 10/5MG TAB,441.0
,,DRUGS,269,Coveram 5/5mg tab,740.5999755859375
,,DRUGS,270,COVERAM 5MG TAB (PERIDOPRIL),381.9375
,,DRUGS,271,COVERSYL 5MG TAB (PERINDOPRIL),740.25
,,DRUGS,272,COVERSYL PLUS 10/2.5MG TAB (PENINDOPRIL + INDAPAMIDE),740.5999755859375
,,DRUGS,273,COVERSYL PLUS 5/1.25MG TAB (PENINDOPRIL + INDAPAMIDE),315.0
,,DRUGS,274,CREPE BANDAGE 4 INCH,525.0
,,DRUGS,275,CRUTCHES LARGE,16537.5
,,DRUGS,276,CRUTCHES MEDIUM,14962.5
,,DRUGS,277,cylindamycin 300mg,115.5
,,DRUGS,278,CYTOTEC 200MG TAB (MISOPROSTOL),1050.0
,,DRUGS,279,D KOFF SYRUP,1150.0
,,DRUGS,280,DACTINOMYCI N (0.5mg) -oncology,3712.170166015625
,,DRUGS,281,DANACID TAB,55.0
,,DRUGS,282,DAONIL 5MG TAB (GLIBENCLAMIDE),195.0
,,DRUGS,283,DEPO PROVERA INJ,8000.0
,,DRUGS,284,DEPO-MEDROL INJ 40MG/ML       ,8000.0
,,DRUGS,285,DERMAZIN CREAM (SILVER SULFADIAZINE),4000.0
,,DRUGS,286,DEXAMETHASONE 0.5MG TAB,65.0
,,DRUGS,287,DEXAMETHASONE 1MG TAB,75.0
,,DRUGS,288,DEXAMETHASONE 4MG (Oncology),210.0
,,DRUGS,289,DEXAMETHASONE 4ML INJ ,700.0
,,DRUGS,290,DEXAMETHASONE EYE OINTMENT,1102.5
,,DRUGS,291,DEXTROSE SALINE 4.3%,1500.0
,,DRUGS,292,DEXTROSE SALINE 5%,1500.0
,,DRUGS,293,DEXTROSE WATER 10%,1500.0
,,DRUGS,294,DEXTROSE WATER 5%,1500.0
,,DRUGS,295,DEXTROSE WATER 50%,1500.0
,,DRUGS,296,DIAMICRON 60MG TAB (GlICLAZIDE),230.3594970703125
,,DRUGS,297,DIASTOP SUSPENSION,708.75
,,DRUGS,298,DIAZEPAM 10MG INJ,1050.0
,,DRUGS,299,DIAZEPAM 5MG TAB       ,130.0
,,DRUGS,300,DICLOFENAC 100MG TAB,75.0
,,DRUGS,301,DICLOFENAC 50MG TAB,65.0
,,DRUGS,302,DICLOFENAC 75MG/3ML INJ ,700.0
,,DRUGS,303,DICLOFENAC EYE DROP,1348.199951171875
,,DRUGS,304,DICLOFENAC SUPPOSITORY 100MG,787.5
,,DRUGS,305,DICLOMOL GEL (DICLOFENAC 1%),1300.0
,,DRUGS,306,DICYNONE 250MG INJ,2000.0
,,DRUGS,307,DIFLUCAN 50MG CAP X3 ,855.75
,,DRUGS,308,DIGOXIN 0.25MG TAB,520.0
,,DRUGS,309,DIHYDROARTEMISININ PIPERAQUINE 40/320MG TAB,129.49964904785156
,,DRUGS,310,DIHYDROCODEINE (DF118) 30MG TAB,425.25
,,DRUGS,311,DIOVAN 160MG TAB (VALSARTAN),778.7249755859375
,,DRUGS,312,DIOVAN 80MG TAB (VALSARTAN),525.9374389648438
,,DRUGS,313,Diprosalic Ointment [Betamethasone/salycilic acid],3307.5
,,DRUGS,314,DISTINGUISH BAND NAME TAG-BLUE AND PINK,525.0
,,DRUGS,315,DOBUTAMINE 50MG INJ ,4200.0
,,DRUGS,316,DONEPEZIL HYDROCHLORIDE 5MG,280.0
,,DRUGS,317,DOPAMINE 200MG/5ML INJ,2100.0
,,DRUGS,318,DORZOLAMIDE TIMOLOL EYE DROP,6142.5
,,DRUGS,319,DOSTINEX (CABERGOLINE) 0.5MG TAB,2461.199951171875
,,DRUGS,320,DOUBLE G LANCET,7.875
,,DRUGS,321,DOXAZOCIN 4MG TAB,130.0
,,DRUGS,322,Doxorubicin (50mg) -oncology,4698.5400390625
,,DRUGS,323,DOXYCYCLINE 100MG CAP,130.0
,,DRUGS,324,DREZ 10% LOTION,2310.0
,,DRUGS,325,DREZ 10% OINTMENT ,916.6500244140625
,,DRUGS,326,DRUJELA MOUTH GEL,787.5
,,DRUGS,327,DULCOLAX SUPPOSITORY (BISACODYL),834.75
,,DRUGS,328,Duodart Capsules (Dutesteride/Tamsulosin),1575.0
,,DRUGS,329,DUPHASTON 10MG TAB (DIHYDROGESTRONE),370.125
,,DRUGS,330,DURAPORE SURGICAL TAPE 1INCH,6562.50048828125
,,DRUGS,331,DYNAMOGEN SYRUP,1950.0
,,DRUGS,332,Ebeclav 228.5mg ,2600.0
,,DRUGS,333,Elastic Shoulder Immobilizer,10237.5
,,DRUGS,334,empagliflozin 10mg,847.0
,,DRUGS,335,empagliflozin 25mg,847.0
,,DRUGS,336,EMZOLYN COUGH ADULT SYR,1150.0
,,DRUGS,337,EMZOLYN COUGH CHILDREN SYRUP,1150.0
,,DRUGS,338,ENALAPRIL 5MG TAB,195.0
,,DRUGS,339,ENALAPRIL HYDROCHLOROTHIAZIDE 5/125MG TAB ,150.0
,,DRUGS,340,ENCEPHABOL SYRUPS,10290.0
,,DRUGS,341,ENDIX-G CREAM,52.5
,,DRUGS,342,ENDOMETRIAL PIPETTE,5880.0
,,DRUGS,343,ENDOTRACHEAL TUBE,1575.0
,,DRUGS,344,ENVELOPE,78.75
,,DRUGS,345,EPHEDRINE HCL 50MG/1ML INJ,4200.0
,,DRUGS,346,EPILIM CHRONO 500 TAB [SODIUM VALPROATE],409.5
,,DRUGS,347,Epsom Salt powder,231.8400115966797
,,DRUGS,348,ERGOMETRIN 0.5MG/ML INJ,1950.0
,,DRUGS,349,ERYTHROMYCIN 125MG/5ML SUSPENSION,1900.0
,,DRUGS,350,ERYTHROMYCIN 250MG TAB,150.0
,,DRUGS,351,ERYTHROMYCIN 500MG TAB,185.0
,,DRUGS,352,ERYTHROPOETIN 4000IU INJ,7000.0
,,DRUGS,353,ESCITALOPRAM 10MG TAB,236.25
,,DRUGS,354,ESIDREX 25MG TAB,157.5
,,DRUGS,355,ESOMEPRAZOLE 20MG TAB,200.0
,,DRUGS,356,EUSOL SOLUTION 1JAR,1575.0
,,DRUGS,357,EVIOL VITAMIN E 100MG CAP,84.0
,,DRUGS,358,EXAMINATION GLOVES X100,525.0
,,DRUGS,359,EXFORGE 5/160/25MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),947.39404296875
,,DRUGS,360,EXFORGE 5MG/160MG TAB (AMLODIPINE + VALSARTAN ),947.3998413085938
,,DRUGS,361,EXFORGE HCT 10/160/25MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),1301.4749755859375
,,DRUGS,362,EXFORGE HCT 10MG/160MG/12.5MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),1301.4749755859375
,,DRUGS,363,EXFORGE HCT 5/160/12.5MG TAB (AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE),957.5999755859375
,,DRUGS,364,EYE ANTIOXIDANT TAB,113.4000015258789
,,DRUGS,365,FANSIDAR SYR (PYRIMETHAMINE + SULFADOXIME),700.0
,,DRUGS,366,FANSIDAR TAB X3,400.0
,,DRUGS,367,FEBUXOSTAT 40MG TAB,165.375
,,DRUGS,368,FEBUXOSTAT 80MG TAB,231.52499389648438
,,DRUGS,369,FELXICAM 20MG CAP (HOVID),63.0
,,DRUGS,370,FENOFIBRATE 160MG TAB,196.875
,,DRUGS,371,FENOFIBRATE 200MG TAB,212.625
,,DRUGS,372,FENTANYL 100MG/2ML INJ,4900.0
,,DRUGS,373,FENTANYL 500MCG/10ML INJ.,3850.0
,,DRUGS,374,FERILEX JNR (BLOOD TONIC FOR CHILDREN),551.25
,,DRUGS,375,FERROUS TAB X1000,31.5
,,DRUGS,376,FINASTERIDE 5MG TAB,151.1999969482422
,,DRUGS,377,Fleming (Amoxicillin/Clavulanic acid) 457mg Syrups,5000.0
,,DRUGS,378,FLOTAC 75MG,367.5
,,DRUGS,379,FLUCAMED EYE&EAR DROP (FLCONAZOLE),2000.0
,,DRUGS,380,FLUCAMED SYR (FLUCONAZOLE),2500.0
,,DRUGS,381,Flucloxacillin 500mg Capsules,299.25
,,DRUGS,382,FLUCONAZOLE 150MG CAP,300.0
,,DRUGS,383,FLUCONAZOLE 50MG TAB,100.0
,,DRUGS,384,FLUOROMETHOLONE EYE DROP,1890.0
,,DRUGS,385,Flutamide 250mg Tablet,260.0
,,DRUGS,386,FOLIC ACID SYRUP,677.25
,,DRUGS,387,FOLIC ACID TAB x 1000,31.5
,,DRUGS,388,FOLINIC ACID (LEUCOVORIN) 15MG TAB,787.5
,,DRUGS,389,Folinic acid 5mg/ml injection,2730.0
,,DRUGS,390,Fortide Inhaler,5890.5
,,DRUGS,391,FORTUM 1G INJ,8400.0
,,DRUGS,392,FRUSEMIDE 40MG INJ,700.0
,,DRUGS,393,FRUSEMIDE 40MG TAB  X500,80.0
,,DRUGS,394,FULL STRENGTH DARROWS,1700.0
,,DRUGS,395,FUNCTIONAL KNEE SUPPORT (HARD),12285.0
,,DRUGS,396,FUNGUSOL LOTION (MICONAZOLE NITRATE),2600.0
,,DRUGS,397,FUNGUSOL POWDER (MICONAZOLE POWDER),2500.0
,,DRUGS,398,Furosemide 20mg inj,700.0
,,DRUGS,399,GALVUS 50MG TAB (VIDAGLIPTIN),496.2374572753906
,,DRUGS,400,GALVUSMET 50MG/1000MG TAB (VILDAGLIPTIN + METFORMIN),677.25
,,DRUGS,401,GAUZE BANDAGE ROLL B/S,7875.0
,,DRUGS,402,GAUZE BANDAGE ROLL S/S,5827.5
,,DRUGS,403,GAVISCON SUSPENSION,5197.65771484375
,,DRUGS,404,GENSULIN M30 (INSULIN 70/30),4095.0
,,DRUGS,405,GENSULIN R,4095.0
,,DRUGS,406,GENTAIN VIOLET PAINT,210.0
,,DRUGS,407,GENTAMICIN 80MG INJ,700.0
,,DRUGS,408,GENTAMICIN EYE&EAR DROP,1200.0
